Aasta,Kvartal,Maakond,Hoone_liik,Korteriomanditeginute_Arv,Keskmine_m2,Kokku_tehinguhind,Minimaalne_tehingusumma,Maksimaalne_tehingsumma,Minimaalne_pinnaühikuhind,Maksimaalne_pinnaühikuhind,Mediaan_pinnaühikuhind,Keskmine_pinnaühikuhind,Standardhälve_pinnaühikuhind,quarter,avg_salary,housing_index,THI
2018,I,Harju maakond,koretr_10_29.99,229.0,21.6,8282782.0,100.0,120000.0,4.33,4026.85,1735.07,1699.72,688.11,2018Q1,,,
2018,I,Harju maakond,koretr_30_40.99,503.0,35.1,29278404.0,2200.0,160000.0,59.62,4020.1,1658.46,1650.44,634.28,2018Q1,,,
2018,I,Harju maakond,koretr_41_54.99,845.0,47.8,67045524.0,1000.0,208000.0,20.66,4095.02,1609.2,1659.26,606.26,2018Q1,,,
2018,I,Harju maakond,koretr_55_69.99,662.0,62.4,67631003.0,1000.0,240000.0,17.61,4293.38,1601.61,1644.87,617.34,2018Q1,,,
2018,I,Harju maakond,koretr_70_249.99,738.0,96.7,132418337.0,13200.0,551500.0,105.02,4910.95,1768.49,1861.6,606.16,2018Q1,,,
2018,I,Harju maakond,Elamu,157.0,189.1,,,,56.12,,,,687.36,2018Q1,,,
2018,I,Harju maakond,Muu,1.0,,,,,,,,,,2018Q1,,,
2018,I,Harju maakond,Suvila,58.0,56.5,,,,97.54,,,,,2018Q1,,,
2018,I,Hiiu maakond,koretr_10_29.99,1.0,,,,,,,,,,2018Q1,,,
2018,I,Hiiu maakond,koretr_30_40.99,1.0,,,,,,,,,,2018Q1,,,
2018,I,Hiiu maakond,koretr_41_54.99,4.0,,,,,,,,,,2018Q1,,,
2018,I,Hiiu maakond,koretr_55_69.99,1.0,,,,,,,,,,2018Q1,,,
2018,I,Hiiu maakond,koretr_70_249.99,4.0,,,,,,,,,,2018Q1,,,
2018,I,Hiiu maakond,Elamu,3.0,,,,,,,,,,2018Q1,,,
2018,I,Ida-Viru maakond,koretr_10_29.99,61.0,26.2,364664.0,1.0,17000.0,0.04,737.92,240.74,233.56,167.57,2018Q1,,,
2018,I,Ida-Viru maakond,koretr_30_40.99,155.0,36.4,1091224.0,1.0,45000.0,0.03,1243.09,142.49,193.92,187.1,2018Q1,,,
2018,I,Ida-Viru maakond,koretr_41_54.99,171.0,47.9,2024099.0,100.0,80000.0,2.1,1626.02,165.98,244.77,263.74,2018Q1,,,
2018,I,Ida-Viru maakond,koretr_55_69.99,92.0,61.6,2130322.0,184.0,80000.0,3.28,1444.04,339.51,375.03,303.44,2018Q1,,,
2018,I,Ida-Viru maakond,koretr_70_249.99,31.0,89.9,1546900.0,10.0,250000.0,0.12,1536.57,408.4,482.13,399.15,2018Q1,,,
2018,I,Ida-Viru maakond,Elamu,21.0,143.0,,,,6.99,,363.2,408.16,300.65,2018Q1,,,
2018,I,Ida-Viru maakond,Suvila,22.0,51.0,,350.0,,12.24,833.33,166.52,251.91,222.37,2018Q1,,,
2018,I,Jõgeva maakond,koretr_10_29.99,3.0,,,,,,,,,,2018Q1,,,
2018,I,Jõgeva maakond,koretr_30_40.99,14.0,35.5,111846.0,200.0,21000.0,6.35,586.42,204.47,228.2,194.86,2018Q1,,,
2018,I,Jõgeva maakond,koretr_41_54.99,16.0,47.1,189700.0,600.0,24000.0,12.17,504.61,221.94,252.78,161.87,2018Q1,,,
2018,I,Jõgeva maakond,koretr_55_69.99,27.0,62.7,312083.0,383.0,31000.0,5.67,531.36,148.37,183.54,160.54,2018Q1,,,
2018,I,Jõgeva maakond,koretr_70_249.99,7.0,,,,,,,,,,2018Q1,,,
2018,I,Jõgeva maakond,Elamu,14.0,131.6,,,,22.65,754.31,139.85,217.07,215.23,2018Q1,,,
2018,I,Jõgeva maakond,Suvila,2.0,,,,,,,,,,2018Q1,,,
2018,I,Järva maakond,koretr_10_29.99,2.0,,,,,,,,,,2018Q1,,,
