Aasta;Kvartal;Maakond;Hoone_liik;Korteriomanditeginute_Arv;Keskmine_m2;Kokku_tehinguhind;Minimaalne_tehingusumma;Maksimaalne_tehingsumma;Minimaalne_pinnaühikuhind;Maksimaalne_pinnaühikuhind;Mediaan_pinnaühikuhind;Keskmine_pinnaühikuhind;Standardhälve_pinnaühikuhind
2018;I;Harju maakond;koretr_10_29.99;229.00;21.60;8282782.00;100.00;120000.00;4.33;4026.85;1735.07;1699.72;688.11
2018;I;Harju maakond;koretr_30_40.99;503.00;35.10;29278404.00;2200.00;160000.00;59.62;4020.10;1658.46;1650.44;634.28
2018;I;Harju maakond;koretr_41_54.99;845.00;47.80;67045524.00;1000.00;208000.00;20.66;4095.02;1609.20;1659.26;606.26
2018;I;Harju maakond;koretr_55_69.99;662.00;62.40;67631003.00;1000.00;240000.00;17.61;4293.38;1601.61;1644.87;617.34
2018;I;Harju maakond;koretr_70_249.99;738.00;96.70;132418337.00;13200.00;551500.00;105.02;4910.95;1768.49;1861.60;606.16
2018;I;Harju maakond;Elamu;157;189.10;32 998 801;5 000;1 200 000;56.12;4 756.72;1 106.09;1 191.88;687.36
2018;I;Harju maakond;Muu;1;***;***;***;***;***;***;***;***;***
2018;I;Harju maakond;Suvila;58;56.50;3 143 340;3 500;134 000;97.54;6 018.52;1 088.07;1 364.67;1 094.25
2018;I;Hiiu maakond;koretr_10_29.99;1.00;***;***;***;***;***;***;***;***;***
2018;I;Hiiu maakond;koretr_30_40.99;1.00;***;***;***;***;***;***;***;***;***
2018;I;Hiiu maakond;koretr_41_54.99;4.00;***;***;***;***;***;***;***;***;***
2018;I;Hiiu maakond;koretr_55_69.99;1.00;***;***;***;***;***;***;***;***;***
2018;I;Hiiu maakond;koretr_70_249.99;4.00;***;***;***;***;***;***;***;***;***
2018;I;Hiiu maakond;Elamu;3;***;***;***;***;***;***;***;***;***
2018;I;Ida-Viru maakond;koretr_10_29.99;61.00;26.20;364664.00;1.00;17000.00;0.04;737.92;240.74;233.56;167.57
2018;I;Ida-Viru maakond;koretr_30_40.99;155.00;36.40;1091224.00;1.00;45000.00;0.03;1243.09;142.49;193.92;187.10
2018;I;Ida-Viru maakond;koretr_41_54.99;171.00;47.90;2024099.00;100.00;80000.00;2.10;1626.02;165.98;244.77;263.74
2018;I;Ida-Viru maakond;koretr_55_69.99;92.00;61.60;2130322.00;184.00;80000.00;3.28;1444.04;339.51;375.03;303.44
2018;I;Ida-Viru maakond;koretr_70_249.99;31.00;89.90;1546900.00;10.00;250000.00;0.12;1536.57;408.40;482.13;399.15
2018;I;Ida-Viru maakond;Elamu;21;143.00;991 700;2 700;150 000;6.99;1 072.42;363.20;408.16;300.65
2018;I;Ida-Viru maakond;Suvila;22;51.00;285 816;350;47 000;12.24;833.33;166.52;251.91;222.37
