quarter,avg_salary,housing_index,THI
2021Q1,1453.6666666666667,226.81,215.25
2021Q2,1521.3333333333333,232.69,220.71
2021Q3,1539.6666666666667,240.55,227.48
2021Q4,1608.3333333333333,256.31,238.35
2022Q1,1586.6666666666667,274.44,248.03
2022Q2,1717.0,296.33,268.94
2022Q3,1699.6666666666667,298.81,281.34
2022Q4,1779.3333333333333,299.5,280.28
2023Q1,1787.3333333333333,299.58,285.88
2023Q2,1920.6666666666667,311.1,293.57
2023Q3,1879.0,310.27,293.17
2023Q4,1947.6666666666667,316.75,291.59
2024Q1,1943.0,322.97,296.96
2024Q2,2057.0,331.92,300.97
2024Q3,2020.6666666666667,330.25,302.0
2024Q4,2109.6666666666665,328.08,303.01
