Aasta,Maakond,Hoone_liik,Korteriomanditeginute_Arv,Keskmine_m2,Kokku_tehinguhind,Minimaalne_tehingusumma,Maksimaalne_tehingsumma,Minimaalne_pinnaühikuhind,Maksimaalne_pinnaühikuhind,Mediaan_pinnaühikuhind,Keskmine_pinnaühikuhind,Standardhälve_pinnaühikuhind,netosissetulek,hoivatute_arv,mitteaktiivsed,toohive_maar,toojoud_ja_mitteaktiivsed,toojoud_arv,toojous_osalemine,tootuse_maar,tootute_arv,leibkondade_arv,avg_salary,housing_index,THI
2018,Harju maakond,Elamu,746.0,179.875,0.0,,,19.49,,,,830.0125,861.1,308.0,67.1,79.42500000000001,389.025,321.92499999999995,83.02499999999999,4.325,13.925,267.7,,,
2018,Harju maakond,Muu,7.0,,0.0,,,,,,,,861.1,308.0,67.1,79.42500000000001,389.025,321.92499999999995,83.02499999999999,4.325,13.925,267.7,,,
2018,Harju maakond,Suvila,376.0,55.25,0.0,100.0,,13.7,,976.635,,778.27,861.1,308.0,67.1,79.42500000000001,389.025,321.92499999999995,83.02499999999999,4.325,13.925,267.7,,,
2018,Harju maakond,korter_10_29.99,971.0,21.8,37109354.0,100.0,120000.0,4.33,7642.86,1816.91,1773.005,749.21,861.1,308.0,67.1,79.42500000000001,389.025,321.92499999999995,83.02499999999999,4.325,13.925,267.7,,,
2018,Harju maakond,korter_30_40.99,1876.0,35.125,108889646.0,300.0,175000.0,7.67,5485.89,1655.1599999999999,1648.325,618.5875,861.1,308.0,67.1,79.42500000000001,389.025,321.92499999999995,83.02499999999999,4.325,13.925,267.7,,,
2018,Harju maakond,korter_41_54.99,3398.0,47.725,270314786.0,1000.0,250000.0,20.66,4699.25,1616.745,1664.4925,610.3125,861.1,308.0,67.1,79.42500000000001,389.025,321.92499999999995,83.02499999999999,4.325,13.925,267.7,,,
2018,Harju maakond,korter_55_69.99,2903.0,62.2,301481686.0,1000.0,345000.0,17.61,5180.18,1630.5725,1675.0475000000001,603.7625,861.1,308.0,67.1,79.42500000000001,389.025,321.92499999999995,83.02499999999999,4.325,13.925,267.7,,,
2018,Harju maakond,korter_70_249.99,3239.0,95.425,566168989.0,9500.0,1050000.0,76.0,6950.09,1764.195,1841.0774999999999,590.5175,861.1,308.0,67.1,79.42500000000001,389.025,321.92499999999995,83.02499999999999,4.325,13.925,267.7,,,
2018,Hiiu maakond,Elamu,24.0,121.45,0.0,,,42.99,912.41,372.73,454.9,356.57,669.3,4.6,1.425,75.025,6.175,4.725,77.45,,,4.3,,,
2018,Hiiu maakond,Suvila,1.0,,0.0,,,,,,,,669.3,4.6,1.425,75.025,6.175,4.725,77.45,,,4.3,,,
2018,Hiiu maakond,korter_10_29.99,1.0,,0.0,,,,,,,,669.3,4.6,1.425,75.025,6.175,4.725,77.45,,,4.3,,,
2018,Hiiu maakond,korter_30_40.99,7.0,,0.0,,,,,,,,669.3,4.6,1.425,75.025,6.175,4.725,77.45,,,4.3,,,
2018,Hiiu maakond,korter_41_54.99,10.0,,0.0,,,,,,,,669.3,4.6,1.425,75.025,6.175,4.725,77.45,,,4.3,,,
2018,Hiiu maakond,korter_55_69.99,12.0,,0.0,,,,,,,,669.3,4.6,1.425,75.025,6.175,4.725,77.45,,,4.3,,,
2018,Hiiu maakond,korter_70_249.99,13.0,86.8,113400.0,1000.0,36000.0,10.37,451.13,402.96,282.22,199.29,669.3,4.6,1.425,75.025,6.175,4.725,77.45,,,4.3,,,
2018,Ida-Viru maakond,Elamu,132.0,112.375,0.0,500.0,,2.32,996.98,320.52,400.9825,327.78999999999996,602.3,57.075,24.875,64.575,89.075,64.175,72.575,11.0,7.1,66.1,,,
