Näitaja,Lapse vanus leibkonnas,Väärtus,Leibkonna tüüp,Aasta
"Leibkonnaliikmete arv, tuhat",Laps 0-17,1361.7,Kõik leibkonnad,2000
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kõik leibkonnad,2000
"Leibkonnaliikmete arv, tuhat",Laps 0-17,1356.4,Kõik leibkonnad,2001
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kõik leibkonnad,2001
"Leibkonnaliikmete arv, tuhat",Laps 0-17,1350.5,Kõik leibkonnad,2002
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kõik leibkonnad,2002
"Leibkonnaliikmete arv, tuhat",Laps 0-17,1345.3,Kõik leibkonnad,2003
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kõik leibkonnad,2003
"Leibkonnaliikmete arv, tuhat",Laps 0-17,1340.5,Kõik leibkonnad,2004
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kõik leibkonnad,2004
"Leibkonnaliikmete arv, tuhat",Laps 0-17,1336.5,Kõik leibkonnad,2005
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kõik leibkonnad,2005
"Leibkonnaliikmete arv, tuhat",Laps 0-17,1333.2,Kõik leibkonnad,2006
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kõik leibkonnad,2006
"Leibkonnaliikmete arv, tuhat",Laps 0-17,1330.9,Kõik leibkonnad,2007
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kõik leibkonnad,2007
"Leibkonnaliikmete arv, tuhat",Laps 0-17,1329.8,Kõik leibkonnad,2008
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kõik leibkonnad,2008
"Leibkonnaliikmete arv, tuhat",Laps 0-17,1329.1,Kõik leibkonnad,2009
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kõik leibkonnad,2009
"Leibkonnaliikmete arv, tuhat",Laps 0-17,1328.8,Kõik leibkonnad,2010
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kõik leibkonnad,2010
"Leibkonnaliikmete arv, tuhat",Laps 0-17,1328.3,Kõik leibkonnad,2011
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kõik leibkonnad,2011
"Leibkonnaliikmete arv, tuhat",Laps 0-17,1327.8,Kõik leibkonnad,2012
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kõik leibkonnad,2012
"Leibkonnaliikmete arv, tuhat",Laps 0-17,1327.3,Kõik leibkonnad,2013
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kõik leibkonnad,2013
"Leibkonnaliikmete arv, tuhat",Laps 0-17,1300.3,Kõik leibkonnad,2014
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kõik leibkonnad,2014
"Leibkonnaliikmete arv, tuhat",Laps 0-17,1303.3,Kõik leibkonnad,2015
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kõik leibkonnad,2015
"Leibkonnaliikmete arv, tuhat",Laps 0-17,1302.8,Kõik leibkonnad,2016
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kõik leibkonnad,2016
"Leibkonnaliikmete arv, tuhat",Laps 0-17,1301.9,Kõik leibkonnad,2017
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kõik leibkonnad,2017
"Leibkonnaliikmete arv, tuhat",Laps 0-17,1304.3,Kõik leibkonnad,2018
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kõik leibkonnad,2018
"Leibkonnaliikmete arv, tuhat",Laps 0-17,1310.8,Kõik leibkonnad,2019
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kõik leibkonnad,2019
"Leibkonnaliikmete arv, tuhat",Laps 0-17,1315.9,Kõik leibkonnad,2020
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kõik leibkonnad,2020
"Leibkonnaliikmete arv, tuhat",Laps 0-17,1316.3,Kõik leibkonnad,2021
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kõik leibkonnad,2021
"Leibkonnaliikmete arv, tuhat",Laps 0-17,1318.7,Kõik leibkonnad,2022
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kõik leibkonnad,2022
"Leibkonnaliikmete arv, tuhat",Laps 0-17,1351.7,Kõik leibkonnad,2023
"Leibkonnaliikmete arv, tuhat",Laps 0-24,1351.7,Kõik leibkonnad,2023
"Leibkonnaliikmete arv, tuhat",Laps 0-17,1359.5,Kõik leibkonnad,2024
"Leibkonnaliikmete arv, tuhat",Laps 0-24,1359.5,Kõik leibkonnad,2024
"Leibkonnaliikmete arv, tuhat",Laps 0-17,627.7,Lasteta leibkond,2000
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta leibkond,2000
"Leibkonnaliikmete arv, tuhat",Laps 0-17,623.2,Lasteta leibkond,2001
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta leibkond,2001
"Leibkonnaliikmete arv, tuhat",Laps 0-17,639.6,Lasteta leibkond,2002
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta leibkond,2002
"Leibkonnaliikmete arv, tuhat",Laps 0-17,656.2,Lasteta leibkond,2003
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta leibkond,2003
"Leibkonnaliikmete arv, tuhat",Laps 0-17,659.6,Lasteta leibkond,2004
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta leibkond,2004
"Leibkonnaliikmete arv, tuhat",Laps 0-17,661.2,Lasteta leibkond,2005
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta leibkond,2005
"Leibkonnaliikmete arv, tuhat",Laps 0-17,680.4,Lasteta leibkond,2006
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta leibkond,2006
"Leibkonnaliikmete arv, tuhat",Laps 0-17,697.8,Lasteta leibkond,2007
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta leibkond,2007
"Leibkonnaliikmete arv, tuhat",Laps 0-17,727.4,Lasteta leibkond,2008
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta leibkond,2008
"Leibkonnaliikmete arv, tuhat",Laps 0-17,741.2,Lasteta leibkond,2009
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta leibkond,2009
"Leibkonnaliikmete arv, tuhat",Laps 0-17,746.5,Lasteta leibkond,2010
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta leibkond,2010
"Leibkonnaliikmete arv, tuhat",Laps 0-17,744.4,Lasteta leibkond,2011
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta leibkond,2011
"Leibkonnaliikmete arv, tuhat",Laps 0-17,741.7,Lasteta leibkond,2012
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta leibkond,2012
"Leibkonnaliikmete arv, tuhat",Laps 0-17,736.0,Lasteta leibkond,2013
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta leibkond,2013
"Leibkonnaliikmete arv, tuhat",Laps 0-17,718.4,Lasteta leibkond,2014
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta leibkond,2014
"Leibkonnaliikmete arv, tuhat",Laps 0-17,718.4,Lasteta leibkond,2015
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta leibkond,2015
"Leibkonnaliikmete arv, tuhat",Laps 0-17,722.6,Lasteta leibkond,2016
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta leibkond,2016
"Leibkonnaliikmete arv, tuhat",Laps 0-17,723.2,Lasteta leibkond,2017
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta leibkond,2017
"Leibkonnaliikmete arv, tuhat",Laps 0-17,716.6,Lasteta leibkond,2018
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta leibkond,2018
"Leibkonnaliikmete arv, tuhat",Laps 0-17,726.4,Lasteta leibkond,2019
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta leibkond,2019
"Leibkonnaliikmete arv, tuhat",Laps 0-17,731.5,Lasteta leibkond,2020
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta leibkond,2020
"Leibkonnaliikmete arv, tuhat",Laps 0-17,728.7,Lasteta leibkond,2021
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta leibkond,2021
"Leibkonnaliikmete arv, tuhat",Laps 0-17,728.6,Lasteta leibkond,2022
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta leibkond,2022
"Leibkonnaliikmete arv, tuhat",Laps 0-17,735.7,Lasteta leibkond,2023
